gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000169738.8,613.9928774122461,-2.1552416442559217,0.23577875767204548,-9.140949191248762,6.190655025957785e-20,1.5358130740111843e-17,DCXR
ENSG00000151726.16,1454.7981787346662,-1.6034543842753264,0.1756936891605411,-9.126419918305437,7.080194646024352e-20,1.7317557777867453e-17,ACSL1
ENSG00000174306.22,3336.8923743009127,-1.1548644169932736,0.12682466125041214,-9.105992522329885,8.548121843683925e-20,2.033516218320754e-17,ZHX3
ENSG00000154734.16,30267.10444145077,-2.300758897534415,0.2526630112074504,-9.106037668669135,8.544567007533403e-20,2.033516218320754e-17,ADAMTS1
ENSG00000157613.11,2775.7318911156053,0.9740491195691697,0.10725964855647067,9.08122609646951,1.0735855111216309e-19,2.485851464818432e-17,CREB3L1
ENSG00000227051.7,4600.761215494944,1.1390110426370754,0.12542210857341698,9.081421573855495,1.0716588400786626e-19,2.485851464818432e-17,C14orf132
ENSG00000157214.14,3002.589331161511,-1.9889147768152815,0.22068754531446905,-9.01235624321787,2.0167599674785685e-19,4.608296525688529e-17,STEAP2
ENSG00000196975.16,4922.17262386367,-1.1944671580886863,0.13296342850654283,-8.983426281234236,2.6246332543550467e-19,5.919400142224641e-17,ANXA4
ENSG00000112837.17,2745.9909838309513,1.7985566173476863,0.20078092828857186,8.95780606593628,3.3120236376528923e-19,7.373923396343606e-17,TBX18
ENSG00000128311.14,316.2350074494867,-1.3068059755238457,0.14603309642703455,-8.948697298744133,3.5970206211222273e-19,7.907070899545393e-17,TST
ENSG00000118689.15,3770.4056556030296,-1.2998115043944518,0.1458688960459444,-8.91082019284666,5.065641192049805e-19,1.0996240617642113e-16,FOXO3
ENSG00000072958.9,2167.0953805831564,-1.1016175303261178,0.12374680140599435,-8.902189937919113,5.475546542886968e-19,1.1739301390589518e-16,AP1M1
ENSG00000108830.11,205.0125177602236,2.3400844757933315,0.263198272898151,8.890956806159844,6.058492788552849e-19,1.267611876698901e-16,RND2
ENSG00000185432.12,2830.6947244053467,-2.326440713013097,0.2616620380595586,-8.891013500718664,6.055401957857834e-19,1.267611876698901e-16,METTL7A
ENSG00000181061.14,1246.2173254089528,-1.3145100152403928,0.1487890380859605,-8.834723526345774,1.0034612327284333e-18,2.074536638995473e-16,HIGD1A
ENSG00000137672.13,654.3769851896346,-1.9659506281885941,0.2227160500046543,-8.82716188683981,1.0736534342827458e-18,2.1935371223240194e-16,TRPC6
ENSG00000132970.14,738.8788067461758,-1.1147256802938281,0.1267838003367209,-8.79233527732459,1.4648286286009842e-18,2.923932639572953e-16,WASF3
ENSG00000177283.8,128.88084691972622,-2.5354208355268337,0.2883650980853327,-8.792398429495632,1.4640052384739425e-18,2.923932639572953e-16,FZD8
ENSG00000146592.17,666.1006690184274,1.9995504907513357,0.2277732252952953,8.778689804998063,1.6538998498894049e-18,3.2638209992249324e-16,CREB5
ENSG00000067369.14,1698.650723024904,0.7875915653499725,0.09025260413640654,8.726524546146253,2.6261837094653043e-18,5.124304078491514e-16,TP53BP1
ENSG00000150907.10,482.05236980360525,-2.350207198850227,0.2703102600772468,-8.694480180584364,3.484212110691392e-18,6.722980834918523e-16,FOXO1
ENSG00000103485.19,862.1981449721984,1.2086043686884913,0.13952930925395887,8.662010692597187,4.6351486474494426e-18,8.749346892565981e-16,QPRT
ENSG00000131871.15,807.0307241015198,-0.6901611805595095,0.07967636253849024,-8.662056833055159,4.633272424337673e-18,8.749346892565981e-16,SELENOS
