gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
REV3L,0.045,1.3578908270539902e-09,-1.6302453962045285,-1.1264942910907565,True
NAMPT,0.022,1.4802727651279575e-09,-1.6013914953867496,-1.043118245012838,True
STARD7,0.011,1.5850361872671534e-09,-1.774514900293425,-1.2740141761662191,True
SSH2,0.0062,2.950637262281678e-09,-1.8033688011112043,-1.224063094419455,True
COL7A1,0.0078,2.9794400781918917e-09,-1.774514900293425,-1.2325885489195787,True
NR4A3,0.0019,2.997471925454703e-09,-3.2027829907734997,-2.12225196025385,True
FER1L6,9.1e-06,3.0228903755682493e-09,4.616624130844683,3.097634184893028,True
NYNRIN,0.024,3.0652538217153013e-09,1.6013914953867496,1.1596784411682275,True
PXDC1,0.0017,3.1171664972005404e-09,-2.0053461068356597,-1.387099408114647,True
ADAM12,0.00054,3.670698430783216e-09,2.611278024009024,1.830310023670717,True
AQP3,0.00054,3.807521951621836e-09,4.198242568986884,2.970499715837734,True
CLIC2,0.045,5.1794241349644314e-09,1.861076602746763,1.2396559033986758,True
CALCOCO2,0.016,6.658196095774891e-09,-1.6590992970223075,-1.1566127942624784,True
PPP1R14A,7.1e-06,6.658196095774891e-09,-4.515635477982456,-2.8363136284534893,True
STON1,0.0065,6.658196095774891e-09,-1.9620652556089904,-1.4359478182508705,True
MOB3B,0.0072,7.792956965566868e-09,-4.140534767351325,-2.7709552765123395,True
KLF5,0.0012,9.680340514046876e-09,-3.736580155902415,-2.591288057577479,True
HMGB2,0.02,1.4341325731815402e-08,-1.817795751520094,-1.2450264811809837,True
PLA2G4A,0.0054,1.457127887847808e-08,3.6932993046757465,2.4973029045014625,True
GDF15,0.00047,1.457127887847808e-08,2.7411205776890304,1.850697418595155,True
CLDN11,1.9e-05,1.5273014695387267e-08,2.539143271964576,1.7012218887332482,True
DAAM2,0.00051,1.718578817651796e-08,-2.4525815695112376,-1.6469678090478383,True
FZD5,0.032,1.8050798397213628e-08,-3.6067376022224087,-2.4666704272969344,True
ABCA6,0.049,2.0736805728643873e-08,-1.4859758921156323,-1.0412079327180934,True
GCLM,0.0075,2.1889720275946476e-08,-1.7889418507023147,-1.2503141313247883,True
BDKRB2,4.7e-06,2.1919612369611835e-08,2.7699744785068097,1.9917422359801584,True
ACSS1,0.00013,2.6472877424601217e-08,-2.798828379324589,-1.8860274011208076,True
SLC16A12,0.0036,2.766895432536065e-08,-5.597656758649178,-4.02491590249858,True
PRKAG2,0.003,3.959246029703549e-08,-2.1640425613334453,-1.5850488669264136,True
NID1,0.0018,4.779576572635945e-08,-2.250604263786783,-1.5594751493324734,True
CITED2,0.0025,4.9639385049448075e-08,-2.337165966240121,-1.623060934175339,True
RWDD4,0.043,5.799545027188718e-08,-1.644672346613418,-1.0901082095894243,True
AASS,0.026,6.133073474751394e-08,-1.6302453962045285,-1.0980642552362272,True
RNF144B,0.0074,6.359669416550556e-08,-3.101794337911272,-2.171705470944217,True
STEAP4,5.3e-10,6.652252134950092e-08,-7.199048254035928,-5.209554530227916,True
VGLL3,0.034,1.1760267229255341e-07,-1.817795751520094,-1.3471323134502182,True
FSTL3,3.2e-06,1.1870451079226777e-07,-2.7266936272801408,-1.82441502169714,True
ATF3,0.0022,1.2290807557936393e-07,-2.914243982595706,-1.9827341496603696,True
ING2,0.035,1.2461177275855437e-07,-1.9476383052001007,-1.33825902742462,True
CYTH3,0.008,1.2461177275855437e-07,-1.7889418507023147,-1.2098629639182092,True
RASL11A,2.2e-08,1.2850171762416844e-07,-3.534602850177961,-2.3940887239736304,True
ABLIM1,0.0069,1.4692544539773337e-07,-1.9909191564267692,-1.4111328490875936,True
GRAMD4,0.049,1.489483824868829e-07,1.7168070986578663,1.1524988896311,True
NAV3,1.2e-06,2.188198981763518e-07,-3.246063842000168,-2.236916829289001,True
ABHD5,0.014,2.342352550607812e-07,-1.6735262474311976,-1.1450259378717984,True
NEDD9,0.0036,2.450981111641837e-07,-2.4525815695112376,-1.665939159599701,True
ANPEP,0.024,2.59441321597118e-07,-1.6158184457956393,-1.0872764571673816,True
ALPK3,0.0019,2.77075304139427e-07,-4.5300624283913455,-3.044106318034976,True
PIK3R1,0.0012,3.68225266701014e-07,-2.2794581646045624,-1.6276984122245204,True
NFIL3,0.0097,3.965771146273158e-07,-1.7600879498845354,-1.1554959863569936,True
AIF1L,0.0062,5.503846695719495e-07,3.9385574616268704,2.701701581769549,True
G0S2,0.034,5.644871762853873e-07,3.9674113624446496,2.667817227102136,True
FST,0.00054,6.003506992123993e-07,2.3227390158312318,1.7746286335764268,True
LGI3,0.018,6.267697641913928e-07,-7.8482610224359615,-4.884411738278844,True
FADS3,0.041,7.464386236495051e-07,-1.5148297929334118,-1.006466291713564,True
AHCTF1,0.0057,1.0718418592809612e-06,-1.9187844043823212,-1.2948730052530537,True
TUBA1A,0.019,1.129992288672968e-06,1.7889418507023147,1.2753211156901152,True
TM4SF1,0.036,1.334500977606374e-06,-1.6013914953867496,-1.1732432509177455,True
SAMD12,0.044,1.4774321909254056e-06,3.015232635457933,1.998540142855464,True
CDON,0.0043,1.5722186914167257e-06,2.4958624207379065,1.629392636618141,True
RAPGEF5,0.0025,1.6528959046268976e-06,-4.082826965715767,-2.771333729789459,True
GPRC5B,5.8e-06,1.711044078128733e-06,-2.7266936272801408,-1.8764125911780327,True
COL4A1,0.0028,1.7349536712838014e-06,-1.9476383052001007,-1.348528045088622,True
SEMA3A,0.043,1.7637028078991802e-06,1.7023801482489769,1.2157913625470338,True
INHBB,3.6e-08,1.864902247861183e-06,-5.0927134943380405,-3.644343952413179,True
BDKRB1,0.0088,2.0744979267217188e-06,2.7844014289156997,1.8319282850877388,True
LEP,0.0004,2.4224614319255496e-06,-4.573343279618015,-3.201371374954855,True
EBF1,0.047,2.9667814247755727e-06,-1.5725375945689704,-1.1227764070759925,True
RSPO1,0.029,3.1449053208421587e-06,-1.9909191564267692,-1.3774144308271856,True
CD302,0.00041,3.2632969956114497e-06,-2.4093007182845687,-1.7494774796389745,True
PHGDH,0.0036,3.5106290830617818e-06,1.97649220601788,1.436462542164968,True
CDC42EP3,0.0013,3.5391944438294818e-06,-2.1063347596978867,-1.5267590761236722,True
CDKN2B,0.013,4.121417935189345e-06,2.149615610924556,1.4827597638958268,True
SLC39A10,0.017,4.343407083851027e-06,1.8755035531556523,1.2174292274537075,True
TNFAIP6,0.00015,4.412360555304766e-06,3.5923106518135195,2.5029999811114068,True
TSPAN8,0.019,4.655169510333198e-06,-6.016038320506977,-4.387711029413011,True
ADAMTS5,6.4e-07,6.980319913832393e-06,-3.029659585866824,-2.1168329650536046,True
C1QTNF1,0.016,7.889040386551754e-06,-1.817795751520094,-1.2395565453359385,True
PREB,0.02,8.159199022776408e-06,-1.644672346613418,-1.1238706823630171,True
HSPB3,0.011,8.16789992161061e-06,-3.650018453449077,-2.37181060354001,True
FIBIN,0.0083,8.550031386171038e-06,-1.7889418507023147,-1.2816684635566638,True
C7,0.0,9.551803997448794e-06,-4.833028386978028,-3.2165593897819007,True
DUSP5,0.037,9.558974751698805e-06,-1.8899305035645424,-1.2848062904611817,True
AXIN2,0.048,9.583837241538712e-06,-1.774514900293425,-1.1815715837834169,True
MXRA5,0.0045,9.769480188681662e-06,1.9476383052001007,1.345497461609909,True
RASL11B,5.6e-05,1.1722382542939534e-05,-5.814061014782523,-4.25798230254678,True
PKDCC,9.9e-05,1.2060316580095804e-05,-2.394873767875679,-1.545210253645851,True
PDE5A,0.03,1.2101748242128882e-05,1.817795751520094,1.1658191112665144,True
HMOX1,0.0036,1.370461324535824e-05,1.904357453973432,1.331054040711778,True
CPM,0.0097,2.2674092683155398e-05,-2.1063347596978867,-1.4684419044544204,True
SIPA1L2,0.0032,2.383369136168103e-05,3.851995759173533,2.7286305438682947,True
GFPT2,0.0055,2.4738433105498605e-05,-1.933211354791211,-1.3144858556574188,True
ITGA10,1.2e-07,2.631003832523152e-05,-5.698645411511406,-3.732912474791147,True
COL4A4,0.0073,2.6458187292352203e-05,-2.8853900817779268,-1.976486843614284,True
SCD,4.3e-06,3.275435859511323e-05,2.870963131369037,1.9945170581340776,True
WFDC1,0.011,3.673995715868574e-05,-2.5968510736001345,-1.7158058338974416,True
EPHB3,0.019,3.820150027684124e-05,2.091907809288997,1.4467691545864467,True
CD82,0.011,5.415059306196277e-05,-1.7600879498845354,-1.2678449254338182,True
AOX1,0.00047,6.340930843221182e-05,-2.250604263786783,-1.4623513477020111,True
DIO2,0.0084,6.964672795452505e-05,-2.1207617101067764,-1.5624466254235967,True
EPHB2,0.0069,7.318444691813303e-05,2.582424123191245,1.740789726372705,True
INPP5A,0.0015,7.383613940832355e-05,-2.0774808588801075,-1.3951326027767577,True
KANK1,0.013,7.531053548428812e-05,-1.817795751520094,-1.227662023349374,True
VEGFA,0.035,8.026924975633515e-05,1.7312340490667562,1.1902895131532594,True
LMOD1,0.028,0.0001107560027374,-1.7023801482489769,-1.1446927493024894,True
TUBB,0.019,0.0001343627074087,1.6879531978400872,1.1763070227994676,True
IFIT1,0.017,0.0001660833572798,2.5102893711467966,1.578771557384626,True
TNFRSF11B,0.0016,0.000171769060528,2.236177313377893,1.530842016909109,True
FAM107A,7e-06,0.0002278901523179,-6.737385840951459,-4.716983681696231,True
HSD17B6,0.0062,0.0002649994984201,3.2316368915912785,2.181225914142939,True
ARHGAP29,0.023,0.0003606354051773,-1.7023801482489769,-1.214324225008576,True
CILP,0.0055,0.0003685576362899,-2.0053461068356597,-1.3765293154160654,True
MICAL2,0.024,0.0004115178995886,-1.7600879498845354,-1.1205580926941765,True
BMPER,0.0096,0.000468910289087,2.091907809288997,1.458065364084502,True
NEGR1,0.0028,0.0005423711719006,-2.019773057244549,-1.473303953473682,True
DDAH1,0.023,0.0006606293356381,-1.8466496523378733,-1.3055328129210797,True
FAM43A,0.029,0.000743205273507,-1.7456609994756458,-1.2395427416555638,True
RAB11FIP1,0.0024,0.0007793501131805,-2.236177313377893,-1.4917132572529104,True
ADARB1,1.2e-06,0.0011800962664796,-3.4191872469068434,-2.330942189425363,True
HSPA2,6.7e-06,0.0011829041057742,-3.650018453449077,-2.562624364838026,True
ARSI,0.031,0.0012821987636288,2.5247163215556863,1.6502756975498154,True
EPHB6,0.0022,0.001334691061767,-2.0053461068356597,-1.3340222103671124,True
LBH,0.016,0.001571390243052,-2.1207617101067764,-1.4556202729236212,True
RHOJ,0.026,0.0016222202712343,1.7889418507023147,1.175509084035149,True
SLC14A1,0.0076,0.0019193569642137,5.886195766826971,3.853687277293777,True
STK17B,0.045,0.0019545045274144,-1.543683693751191,-1.117329353403559,True
SCN7A,0.013,0.0025486747389764,-1.9620652556089904,-1.4268608963815326,True
COL11A1,0.00015,0.00279080026851,-3.4047602964979538,-2.3910340045266314,True
USP53,2.2e-05,0.0035247302227716,-3.116221288320161,-2.310310152275401,True
SOX9,0.047,0.0036889513259278,1.7600879498845354,1.2512065212899708,True
DAPK2,0.0076,0.004283854178334,-2.178469511742335,-1.5612690250554695,True
PIEZO2,0.0014,0.004664475298763,3.880849659991312,2.523705150275853,True
FBN2,0.0016,0.0063734206957406,-3.101794337911272,-2.0818659272237388,True
MTSS1,1.4e-05,0.0064772673160597,-2.798828379324589,-2.01252628799066,True
WNT2,4.9e-06,0.0065476340173508,4.573343279618015,3.084653840910605,True
LRRC17,3.8e-06,0.0078537674903278,3.274917742817947,2.204850692714111,True
GPM6B,2.8e-05,0.0083784313292842,-4.010692213671319,-2.6368131255083798,True
ARHGAP28,0.011,0.0100843949333128,2.135188660515666,1.4955712428589338,True
STC1,1.7e-06,0.0102270353403314,-3.491321998951292,-2.285563325627705,True
ENPP1,0.019,0.0104095985711689,-1.904357453973432,-1.342374124631443,True
JUN,0.044,0.0108062045709402,1.6013914953867496,1.075491313725861,True
IGDCC4,0.0004,0.0111323479283892,3.17392908995572,2.123709613571928,True
DHRS3,0.02,0.015164713790538,-1.7456609994756458,-1.1334859998665203,True
TUBB3,0.023,0.0160644631075007,2.1207617101067764,1.1309992984240282,True
CPA4,0.0059,0.0161707368193464,3.4191872469068434,2.2554713266616093,True
PDPN,0.002,0.0168446184147873,-2.654558875235693,-1.8889096808986137,True
MAMDC2,3.1e-06,0.0201628755683638,-3.2172099411823885,-2.270306510775361,True
GCNT4,0.0065,0.0220144357635161,-2.798828379324589,-1.9376665967050857,True
APCDD1,0.00027,0.0233757607429411,-2.567997172782355,-1.774367036939426,True
SERPINA3,0.0,0.025716923921965,-4.818601436569137,-1.834802131260056,True
MEST,0.016,0.0274148017458317,2.6834127760534723,1.742991602393129,True
GGT5,0.00033,0.028443553899099,-3.4480411477246227,-2.4332396727034,True
ACTG2,0.00033,0.0290683589111678,-2.870963131369037,-1.9364356250420496,True
DLL4,0.0062,0.0324789206786704,-5.395679452924724,-3.6913320180638594,True
PDK4,6.4e-07,0.0328719118483984,-3.736580155902415,-2.5483227119840275,True
