gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
STK17B,0.045,0.0021732473564345,-1.543683693751191,-1.1101246094656243,True
SCN7A,0.013,0.0026990741438925,-1.9620652556089904,-1.4227360649792702,True
COL11A1,0.00015,0.0030387332464216,-3.4047602964979538,-2.3826056274904808,True
LBH,0.016,0.003103755427532,-2.1207617101067764,-1.390699234783965,True
EPHB6,0.0022,0.0031337201178792,-2.0053461068356597,-1.323851524562898,True
USP53,2.2e-05,0.0036926328034733,-3.116221288320161,-2.304682351667028,True
SOX9,0.047,0.0037835153695874,1.7600879498845354,1.2545270546721787,True
PIEZO2,0.0014,0.0040371437945713,3.880849659991312,2.646611377179304,True
DAPK2,0.0076,0.0045223609816876,-2.178469511742335,-1.562455792284806,True
WNT2,4.9e-06,0.0063675683287438,4.573343279618015,3.116476386692934,True
FBN2,0.0016,0.0065913173763152,-3.101794337911272,-2.0740028605853045,True
MTSS1,1.4e-05,0.0074482955459689,-2.798828379324589,-1.959333903395674,True
LRRC17,3.8e-06,0.0078507540180576,3.274917742817947,2.210238946006329,True
LAMA3,0.017,0.0079658612302297,-1.9187844043823212,-0.883102123666787,True
ARHGAP28,0.011,0.0103072793185816,2.135188660515666,1.4987175287614496,True
GPM6B,2.8e-05,0.0103072793185816,-4.010692213671319,-2.5857215314993973,True
JUN,0.044,0.0106730132559041,1.6013914953867496,1.080388661756854,True
STC1,1.7e-06,0.010673499937098,-3.491321998951292,-2.276861691699578,True
IGDCC4,0.0004,0.0109079776849013,3.17392908995572,2.130638126297427,True
ENPP1,0.019,0.0114218556200411,-1.904357453973432,-1.3351204038288171,True
TUBB3,0.023,0.011635064844221,2.1207617101067764,1.1666629704597402,True
DHRS3,0.02,0.0160778091491813,-1.7456609994756458,-1.1256682979604566,True
CPA4,0.0059,0.0163517432759533,3.4191872469068434,2.2620240374069214,True
PDPN,0.002,0.017467863011533,-2.654558875235693,-1.8862555785145505,True
GCNT4,0.0065,0.0210760732370608,-2.798828379324589,-1.958841596090738,True
MAMDC2,3.1e-06,0.0242042455184263,-3.2172099411823885,-2.2846769417689474,True
APCDD1,0.00027,0.0245547269470247,-2.567997172782355,-1.771140631364995,True
ACTG2,0.00033,0.0304693693977169,-2.870963131369037,-1.9279480364282968,True
GGT5,0.00033,0.0314731653861983,-3.4480411477246227,-2.4138244240546185,True
DLL4,0.0062,0.0336835643185105,-5.395679452924724,-3.68198095265333,True
PDK4,6.4e-07,0.0343151767886973,-3.736580155902415,-2.541170056225047,True
SERPINA3,0.0,0.0641473549660955,-4.818601436569137,-1.5764037360352612,True
IGFBP2,2.3e-06,0.0920815841066573,-3.087367387502382,-2.077014179975004,True
MAP1LC3C,0.0077,0.0985115905482096,-3.736580155902415,-2.5164555677737903,True
CCKAR,9.7e-05,0.102642766407909,3.044086536275713,2.2037663597469948,True
CDH6,0.0025,0.1035261868958331,2.063053908471218,1.2999155771082205,True
LRRC15,0.0077,0.1097380141647259,3.2316368915912785,2.363771019375829,True
RASD1,0.016,0.1124603920132329,-3.505748949360181,-2.2059867470936765,True
CTGF,0.042,0.1163528503324321,-1.9909191564267692,-1.3672767212298056,True
OLFML2A,0.0069,0.1249553298971325,2.019773057244549,1.37988207986527,True
ITGA11,0.003,0.1363583362320956,2.236177313377893,1.5892142089025625,True
SPON1,0.0011,0.1544677288636308,-2.582424123191245,-1.735147862419116,True
CADPS2,0.017,0.1567890468544937,-1.97649220601788,-1.4743357323210085,True
ADCY1,0.0031,0.1963076187925264,3.274917742817947,2.2439723083591754,True
OXTR,0.0022,0.2316089122528234,-2.8132553297334786,-1.962865838806452,True
SCARA5,0.0065,0.3118610673748227,-2.481435470329017,-1.672885764978148,True
RCAN2,0.011,0.3485768054416132,2.5968510736001345,1.6482466090060923,True
RAI2,0.013,0.3703848160595446,-2.091907809288997,-1.4401636526718924,True
HSD11B1,0.048,0.378865233971185,-1.8755035531556523,-1.124595194185807,True
PLXNA4,0.00017,,-4.270377321031332,-2.926128121362861,True
